198
27830,MEEN 210,203,HNR-GEOMETRIC MODELING
25194,MEEN 363,503,DYNAMICS AND VIBRATIONS
2
Laboratory,M,1720,1910
Lecture,TR,1310,1400
39460,MEEN 363,M01,DYNAMICS AND VIBRATIONS
2
Lecture,MW,910,1000
Laboratory,R,1350,1550
11552,MEEN 364,501,DYNAMIC SYST AND CONTROL
2
Lecture,MW,1020,1110
Laboratory,M,1420,1710
11553,MEEN 364,502,DYNAMIC SYST AND CONTROL
2
Lecture,MW,1020,1110
Laboratory,T,800,1050
11554,MEEN 364,503,DYNAMIC SYST AND CONTROL
2
Lecture,MW,1020,1110
Laboratory,T,1420,1710
11555,MEEN 364,504,DYNAMIC SYST AND CONTROL
2
Lecture,MW,1020,1110
Laboratory,W,1420,1710
11556,MEEN 364,505,DYNAMIC SYST AND CONTROL
2
Lecture,TR,800,915
Laboratory,R,1110,1400
11557,MEEN 364,506,DYNAMIC SYST AND CONTROL
2
Lecture,TR,800,915
Laboratory,W,800,1050
19937,MEEN 364,507,DYNAMIC SYST AND CONTROL
2
Laboratory,M,1110,1400
Lecture,TR,800,915
19938,MEEN 364,508,DYNAMIC SYST AND CONTROL
2
Lecture,TR,800,915
Laboratory,R,1420,1710
29371,MEEN 364,509,DYNAMIC SYST AND CONTROL
2
Lecture,MW,1130,1220
Laboratory,F,800,1050
29372,MEEN 364,510,DYNAMIC SYST AND CONTROL
2
Lecture,MW,1130,1220
Laboratory,T,1110,1400
29741,MEEN 364,511,DYNAMIC SYST AND CONTROL
2
Lecture,MW,1130,1220
Laboratory,R,800,1050
31746,MEEN 364,512,DYNAMIC SYST AND CONTROL
2
Lecture,MW,1130,1220
Laboratory,F,1110,1400
32920,MEEN 364,513,DYNAMIC SYST AND CONTROL
2
Lecture,MW,1020,1110
Laboratory,F,1420,1710
33190,MEEN 364,514,DYNAMIC SYST AND CONTROL
2
Lecture,MW,1020,1110
Laboratory,M,1730,2020
34659,MEEN 364,515,DYNAMIC SYST AND CONTROL
2
Lecture,MW,1020,1110
Laboratory,R,1730,2020
34660,MEEN 364,516,DYNAMIC SYST AND CONTROL
2
Lecture,MW,1020,1110
Laboratory,T,1730,2020
27827,MEEN 368,203,HNR-SOLID MECH IN MEC DESIGN
2
Lecture,TR,1555,1710
Laboratory,T,1730,1830
11558,MEEN 368,501,SOLID MECH IN MEC DESIGN
2
Lecture,MWF,1240,1330
Laboratory,M,1745,1845
11559,MEEN 368,502,SOLID MECH IN MEC DESIGN
2
Lecture,MWF,800,850
Laboratory,W,1745,1845
21010,MEEN 368,503,SOLID MECH IN MEC DESIGN
2
Lecture,TR,1555,1710
Laboratory,T,1730,1830
34930,MEEN 368,504,SOLID MECH IN MEC DESIGN
2
Lecture,MWF,1610,1700
Laboratory,R,1730,1830
39005,MEEN 368,505,SOLID MECH IN MEC DESIGN
2
Lecture,TR,800,915
Laboratory,W,1730,1830
39049,MEEN 368,506,SOLID MECH IN MEC DESIGN
2
Lecture,MWF,1240,1330
Laboratory,T,1730,1830
39978,MEEN 368,507,SOLID MECH IN MEC DESIGN
2
Lecture,MWF,910,1000
Laboratory,R,1730,1830
40594,MEEN 368,508,SOLID MECH IN MEC DESIGN
1
Lecture,MWF,1240,1330
40595,MEEN 368,509,SOLID MECH IN MEC DESIGN
1
Lecture,TR,935,1050
40596,MEEN 368,510,SOLID MECH IN MEC DESIGN
1
Lecture,TR,1555,1710
40635,MEEN 368,511,SOLID MECH IN MEC DESIGN
1
Lecture,MWF,1130,1220
11560,MEEN 381,501,SEMINAR
3
Seminar,F,910,1000
Seminar,W,1800,1850
Seminar,W,1800,1850
11561,MEEN 381,502,SEMINAR
3
Seminar,F,910,1000
Seminar,W,1800,1850
Seminar,W,1800,1850
11562,MEEN 381,503,SEMINAR
3
Seminar,F,910,1000
Seminar,W,1800,1850
Seminar,W,1800,1850
11563,MEEN 381,504,SEMINAR
3
Seminar,F,910,1000
Seminar,W,1800,1850
Seminar,W,1800,1850
11564,MEEN 381,505,SEMINAR
3
Seminar,F,910,1000
Seminar,W,1800,1850
Seminar,W,1800,1850
11565,MEEN 381,506,SEMINAR
3
Seminar,F,910,1000
Seminar,W,1800,1850
Seminar,W,1800,1850
22811,MEEN 381,507,SEMINAR
3
Seminar,F,910,1000
Seminar,W,1800,1850
Seminar,W,1800,1850
25548,MEEN 381,508,SEMINAR
3
Seminar,F,910,1000
Seminar,W,1800,1850
Seminar,W,1800,1850
26879,MEEN 381,509,SEMINAR
3
Seminar,F,910,1000
Seminar,W,1800,1850
Seminar,W,1800,1850
32106,MEEN 381,510,SEMINAR
3
Seminar,F,910,1000
Seminar,W,1800,1850
Seminar,W,1800,1850
11566,MEEN 401,501,INTRO TO MECH ENGR DESGN
2
Lecture,TR,1110,1225
Laboratory,T,1420,1710
11567,MEEN 401,502,INTRO TO MECH ENGR DESGN
2
Lecture,TR,1110,1225
Laboratory,R,1420,1710
11568,MEEN 401,503,INTRO TO MECH ENGR DESGN
2
Lecture,TR,1110,1225
Laboratory,T,1420,1710
20322,MEEN 401,505,INTRO TO MECH ENGR DESGN
2
Laboratory,M,1500,1750
Lecture,TR,1245,1400
31750,MEEN 401,507,INTRO TO MECH ENGR DESGN
2
Lecture,TR,1245,1400
Laboratory,W,1500,1750
12769,MEEN 402,501,INTERMEDIATE DESIGN
2
Laboratory,M,1500,1750
Lecture,TR,935,1050
12770,MEEN 402,502,INTERMEDIATE DESIGN
2
Lecture,TR,935,1050
Laboratory,W,1500,1750
15402,MEEN 402,503,INTERMEDIATE DESIGN
2
Lecture,TR,935,1050
Laboratory,T,1420,1710
24810,MEEN 402,504,INTERMEDIATE DESIGN
2
Lecture,TR,935,1050
Laboratory,R,1420,1710
15136,MEEN 402,505,INTERMEDIATE DESIGN
2
Laboratory,M,1500,1750
Lecture,TR,1110,1225
16246,MEEN 402,506,INTERMEDIATE DESIGN
2
Lecture,TR,1110,1225
Laboratory,W,1500,1750
21691,MEEN 402,507,INTERMEDIATE DESIGN
2
Lecture,TR,1110,1225
Laboratory,T,1440,1730
21692,MEEN 402,508,INTERMEDIATE DESIGN
2
Lecture,TR,1110,1225
Laboratory,R,1420,1710
31747,MEEN 402,509,INTERMEDIATE DESIGN
2
Laboratory,M,1500,1750
Lecture,TR,1245,1400
31748,MEEN 402,510,INTERMEDIATE DESIGN
2
Lecture,TR,1245,1400
Laboratory,W,1500,1750
37407,MEEN 402,511,INTERMEDIATE DESIGN
2
Lecture,TR,1245,1400
Laboratory,T,1420,1710
30670,MEEN 404,900,ENGINEERING LABORATORY
2
Lecture,MW,1350,1440
Laboratory,M,1500,1750
30742,MEEN 404,901,ENGINEERING LABORATORY
2
Lecture,MW,1350,1440
Laboratory,W,1500,1750
30743,MEEN 404,902,ENGINEERING LABORATORY
2
Lecture,MW,1350,1440
Laboratory,T,1420,1710
30746,MEEN 404,905,ENGINEERING LABORATORY
2
Lecture,MW,1350,1440
Laboratory,W,1500,1750
34545,MEEN 404,906,ENGINEERING LABORATORY
2
Lecture,MW,1350,1440
Laboratory,T,1420,1710
39242,MEEN 408,500,MECH ROBOTIC MANIPULATORS
1
Lecture,MWF,1130,1220
11573,MEEN 410,500,INTERNAL COMB ENGINES
1
Lecture,MWF,1240,1330
11575,MEEN 421,501,THERMO FLUID ANLY & DESN
1
Lecture,MWF,800,850
11576,MEEN 421,502,THERMO FLUID ANLY & DESN
1
Lecture,TR,800,915
11577,MEEN 431,500,ADV SYST DYNAMIC & CNTRL
1
Lecture,MWF,1130,1220
37402,MEEN 432,500,AUTOMOTIVE ENGR
1
Lecture,MWF,1350,1440
17774,MEEN 436,500,PRIN HEAT VENT & A/C
1
Lecture,MWF,1020,1110
28319,MEEN 439,500,SOLAR ENERGY ENGINEERING
1
Lecture,TR,935,1050
39941,MEEN 440,500,BIO INSPIRED ENGR DESIGN
1
Lecture,TR,935,1050
22616,MEEN 442,501,COMPUTER AIDED ENGR
1
Lecture,MW,910,1025
35866,MEEN 453,500,ADD & SUB PROC CUST MFTG
1
Lecture,MWF,1020,1110
37403,MEEN 454,500,TRIBOLOGY-MECH INTERFACE DESGN
1
Lecture,TR,1110,1225
34071,MEEN 459,500,SOUND & VIBRATION MEASUR
1
Lecture,TR,800,915
37404,MEEN 460,500,CORROSION ENGINEERING
1
Lecture,TR,1110,1225
27777,MEEN 461,201,HNR-HEAT TRANSFER
1
Lecture,TR,935,1050
11579,MEEN 461,501,HEAT TRANSFER
1
Lecture,TR,935,1050
11580,MEEN 461,502,HEAT TRANSFER
1
Lecture,MWF,800,850
15085,MEEN 461,503,HEAT TRANSFER
1
Lecture,MWF,1240,1330
33093,MEEN 461,505,HEAT TRANSFER
1
Lecture,MWF,1500,1550
39765,MEEN 463,500,COGENERATION SYSTEMS
1
Lecture,MWF,1130,1220
11581,MEEN 464,501,HEAT TRANSFER LAB
1
Laboratory,M,1420,1710
11582,MEEN 464,502,HEAT TRANSFER LAB
1
Laboratory,T,1110,1400
11583,MEEN 464,503,HEAT TRANSFER LAB
1
Laboratory,T,1420,1710
11584,MEEN 464,504,HEAT TRANSFER LAB
1
Laboratory,W,1420,1710
11585,MEEN 464,505,HEAT TRANSFER LAB
1
Laboratory,R,1420,1710
11586,MEEN 464,506,HEAT TRANSFER LAB
1
Laboratory,W,800,1050
11587,MEEN 464,507,HEAT TRANSFER LAB
1
Laboratory,R,1110,1400
15109,MEEN 464,508,HEAT TRANSFER LAB
1
Laboratory,F,800,1050
19939,MEEN 464,509,HEAT TRANSFER LAB
1
Laboratory,T,800,1050
19940,MEEN 464,510,HEAT TRANSFER LAB
1
Laboratory,R,800,1050
22714,MEEN 464,511,HEAT TRANSFER LAB
1
Laboratory,M,1110,1400
31753,MEEN 464,512,HEAT TRANSFER LAB
1
Laboratory,F,1110,1400
32672,MEEN 464,513,HEAT TRANSFER LAB
1
Laboratory,W,1110,1400
32676,MEEN 464,514,HEAT TRANSFER LAB
1
Laboratory,F,1420,1710
32677,MEEN 464,515,HEAT TRANSFER LAB
1
Laboratory,M,800,1050
32678,MEEN 464,516,HEAT TRANSFER LAB
1
Laboratory,M,1730,2020
21012,MEEN 467,500,MECH BEHAVIOR OF MATLS
1
Lecture,TR,800,915
11588,MEEN 475,501,MATERIALS IN DESIGN
1
Lecture,MWF,1240,1330
12773,MEEN 475,502,MATERIALS IN DESIGN
1
Lecture,MWF,910,1000
SOLID MECH,40629,MEEN 489,SPTP: HNR
2
Lecture,TR,1555,1710
Laboratory,T,1730,1830
39761,MEEN 489,500,SPTP: DEVELOP INNOVA MINDSET
2
Lecture,MW,1240,1440
Laboratory,MW,1330,1440
40222,MEEN 489,501,SPTP: MCH LRNG FOR MECH ENGRS
1
Lecture,MW,910,1025
40623,MEEN 489,503,SPTP: SOLID MECH
2
Lecture,MWF,910,1000
Laboratory,R,1730,1830
40624,MEEN 489,504,SPTP: SOLID MECH
2
Lecture,MWF,1610,1700
Laboratory,R,1730,1830
40625,MEEN 489,505,SPTP: SOLID MECH
2
Lecture,TR,800,915
Laboratory,W,1730,1830
40626,MEEN 489,506,SPTP: SOLID MECH
2
Lecture,MWF,800,850
Laboratory,W,1745,1845
40627,MEEN 489,507,SPTP: SOLID MECH
2
Lecture,MWF,1240,1330
Laboratory,M,1745,1845
40628,MEEN 489,508,SPTP: SOLID MECH
2
Lecture,TR,1555,1710
Laboratory,T,1730,1830
26881,MEEN 602,600,MODELING AND ANALYSIS MECH SYS
1
Lecture,MW,1240,1355
39015,MEEN 608,600,CONTINUUM MECHANICS
1
Lecture,TR,1245,1400
27781,MEEN 611,600,ADVANCED INTERNAL COMB ENGINES
1
Lecture,MWF,1240,1330
39243,MEEN 612,600,MECH OF ROBOT MANIP
1
Lecture,MWF,1130,1220
11589,MEEN 617,600,MECHANICAL VIBRATION
1
Lecture,TR,1110,1225
40493,MEEN 618,600,ENGY PRIN & VAR METH APPL MECH
1
Lecture,TR,935,1050
26883,MEEN 621,600,FLUID MECHANICS
1
Lecture,MW,1020,1135
39014,MEEN 624,600,TWO-PHSE FLW &HT TRANS
1
Lecture,MW,1020,1135
14805,MEEN 625,600,MECH BEHAVIOR MATERIALS
1
Lecture,TR,800,915
39016,MEEN 630,600,INTERMED HEAT TRANSFER
1
Lecture,TR,1555,1710
22617,MEEN 632,601,ADV COMPUTER-AIDED ENGR
1
Lecture,MW,910,1025
35652,MEEN 633,600,COMBUSTION SCIENCE
1
Lecture,TR,935,1050
39018,MEEN 643,600,EXP METH HEAT & FLD MECH
1
Lecture,MW,910,1025
39245,MEEN 644,600,NUM HEAT TRAN&FL FLOW
1
Lecture,TR,800,915
15403,MEEN 652,600,MULT CONTROL SYS DESGN
1
Lecture,TR,1245,1400
37413,MEEN 654,600,TRIBOLOGY-MECH INTERFACE DESGN
1
Lecture,TR,1110,1225
36537,MEEN 655,600,DESIGN OF NON LIN CON SY
1
Lecture,TR,935,1050
33973,MEEN 659,600,SOUND & VIBRATION MEASUREMENT
1
Lecture,TR,800,915
37414,MEEN 660,600,CORROSION ENGINEERING
1
Lecture,TR,1110,1225
39693,MEEN 663,600,COGENERATION SYSTEMS
1
Lecture,MWF,1130,1220
37416,MEEN 665,600,APPL OF ENERGY MGMT
1
Lecture,TR,1245,1400
37598,MEEN 668,600,ROTORDYNAMICS
1
Lecture,TR,1420,1535
36284,MEEN 673,600,NONLIN FIN ELEM METHOD
1
Lecture,TR,1110,1225
15404,MEEN 681,600,SEMINAR
1
Seminar,W,1610,1700
39244,MEEN 683,600,MULTIDIS SYS ANLY DESN OPTIM
1
Lecture,MW,1500,1615
35867,MEEN 687,600,ADDTV SUBTR PROCESS CUST MFG
1
Lecture,MWF,1020,1110
37576,MEEN 689,600,SPTP: ROBOTIC PERCEPTION
1
Lecture,MW,1020,1135
40264,MEEN 689,601,SPTP: BIO-INSPIRED ENG DESIGN
1
Lecture,TR,935,1050
39592,MEEN 689,602,SPTP:DEVELOP AN INNOV MINDSET
2
Lecture,MW,1240,1440
Laboratory,MW,1330,1440
37417,MEEN 693,600,SOLAR ENERGY ENGINEERING
1
Lecture,TR,935,1050
