67
21046,AERO 201,200,HNR-INTRO TO FLIGHT
38947,AERO 420,501,AEROELASTICITY
1
Lecture,MWF,1240,1330
38415,AERO 422,501,ACT CONTR FOR AERO VEH
1
Lecture,MWF,1500,1550
24812,AERO 423,200,HNR-ORBITAL MECHANICS
1
Lecture,MWF,1020,1110
21686,AERO 423,500,ORBITAL MECHANICS
1
Lecture,MWF,1020,1110
24734,AERO 430,500,NUMERICAL SIMULATION
1
Lecture,MWF,1500,1550
38420,AERO 451,500,HUMAN SPACEFLIGHT OPERATIONS
1
Lecture,TR,1420,1535
24814,AERO 452,200,HNR-EAT TRANS VISC FLOWS
1
Lecture,MWF,1350,1440
38418,AERO 452,501,HEAT TRANS VISC FLOWS
1
Lecture,MWF,1350,1440
25190,AERO 481,200,HNR-SEMINAR
1
Seminar,R,1600,1700
39403,AERO 489,500,SPTP: COMP FLUID DYN FOR AERO
1
Lecture,MWF,1240,1330
39748,AERO 489,501,SPTP: OPTC, RAD, & AERO APPLIC
1
Lecture,MWF,910,1000
39750,AERO 489,502,SPTP: AERO ENGR LAB
2
Lecture,M,1500,1640
Laboratory,W,1500,1730
39780,AERO 489,503,SPTP: AERO ENGR LAB
2
Lecture,M,1500,1640
Laboratory,T,1500,1730
39799,AERO 489,504,SPTP: AERO ENGR LAB
2
Lecture,M,1500,1640
Laboratory,R,1500,1730
39800,AERO 489,505,SPTP: AERO ENGR LAB
2
Lecture,M,1500,1640
Laboratory,F,1500,1730
34265,AERO 602,600,THEORY OF FLUID MECH
1
Lecture,TR,935,1050
38426,AERO 606,600,MULTIFUNCTNAL MATERIALS
1
Lecture,TR,1420,1535
38424,AERO 615,600,COMP FLUID DYNAMICS AERO APPL
1
Lecture,MWF,1240,1330
27422,AERO 623,600,SPACECRAFT MANEUVERS
1
Lecture,MWF,1350,1440
38431,AERO 624,600,CELESTIAL MECHANICS
1
Lecture,TR,1245,1400
38429,AERO 640,600,TURBULENCE PROCESSES
1
Lecture,TR,1110,1225
26263,AERO 651,600,HUMAN SPACEFLIGHT OPERATIONS
1
Lecture,TR,1420,1535
24410,AERO 681,600,SEMINAR: TOPIC: COMMUNICATION
1
Seminar,TR,1555,1710
10061,AERO 681,601,SEM: TOPIC: PROFES DEVELOPMENT
2
Seminar,T,1555,1710
Seminar,R,1555,1710
39815,AERO 689,602,SPTP: DES OF EXPER & STAT METH
1
Lecture,MWF,1020,1110
39816,AERO 689,603,SPTP: OPT, RAD, AND AERO APPLI
1
Lecture,MWF,910,1000
40038,AERO 689,604,SPTP: APPL FUNC INTERP OPTIM
1
Lecture,TR,1420,1535
40338,AERO 689,605,SPTP: Systems Analysis
1
Lecture,TR,1110,1225
