85
11078,HIST 101,500,WESTERN CIV TO 1660
Lecture,TR,1555,1710
34248,HIST 473,500,WOMENS HISTORY MODERN US
1
Lecture,TR,1555,1710
12515,HIST 481,901,SEMINAR IN HISTORY
1
Seminar,R,1730,2005
12516,HIST 481,902,SEMINAR IN HISTORY
1
Seminar,TR,935,1050
12517,HIST 481,903,SEMINAR IN HISTORY
1
Seminar,TR,1110,1225
12518,HIST 481,904,SEMINAR IN HISTORY
1
Seminar,MWF,910,1000
12519,HIST 481,905,SEMINAR IN HISTORY
1
Seminar,TR,1420,1535
12520,HIST 481,906,SEMINAR IN HISTORY
1
Seminar,TR,1245,1400
34230,HIST 613,600,READING SEMINAR U.S. IN WORLD
1
Lecture,T,1415,1715
37645,HIST 618,600,READING SEM GENDER/SEXUALITY
1
Seminar,W,1800,2045
37672,HIST 624,600,RDG RACE ETHN & MIGRATN
1
Lecture,R,1715,2000
34229,HIST 629,600,RESEARCH METHODS
1
Lecture,M,1415,1700
11114,HIST 632,600,RDG SEM IN U S HIST
1
Lecture,R,1415,1700
